instances,provider_id,workload,vm_type,percentile,cpubusy.my_quantile,%_mem.my_quantile
2,m3_medium,400,wordpress,51912,100,43.6798604329
3,m3_medium,400,wordpress,32411.6,100,34.4200973511
4,m3_medium,400,wordpress,23445.8,100,30.2838567098
1,m3_medium,500,wordpress,137106.6,100,62.8863677979
2,m3_medium,500,wordpress,69213.2,100,51.2018458049
3,m3_medium,500,wordpress,42104,100,38.9275614421
4,m3_medium,500,wordpress,30929.7,100,33.705851237
1,m3_medium,600,wordpress,161485.1,100,63.6289723714
2,m3_medium,600,wordpress,83847,100,56.8113505046
3,m3_medium,600,wordpress,51728,100,44.2089513143
4,m3_medium,600,wordpress,38159,100,37.0829645793
1,m3_medium,700,wordpress,177864.3,100,59.2249348958
2,m3_medium,700,wordpress,98027.5,100,58.8135935465
3,m3_medium,700,wordpress,61813.1,100,49.0258026123
4,m3_medium,700,wordpress,45682.6,100,40.7858174642
1,m3_medium,800,wordpress,188102,100,61.9205881755
2,m3_medium,800,wordpress,112553,100,59.940923055
3,m3_medium,800,wordpress,72283,100,54.1035461426
4,m3_medium,800,wordpress,52871.1,100,44.3798828125
1,m3_medium,900,wordpress,186460.4,100,62.7572021484
2,m3_medium,900,wordpress,122372.4,100,61.6562906901
3,m3_medium,900,wordpress,80929,100,59.2870076497
4,m3_medium,900,wordpress,61707,100,48.5288238525
1,m3_medium,1000,wordpress,182907.7,100,63.4308522542
2,m3_medium,1000,wordpress,158873.2,100,59.2069422404
3,m3_medium,1000,wordpress,88301.7,100,54.5262196859
4,m3_medium,1000,wordpress,69879.2,100,52.001256307
1,m3_xlarge,100,wordpress,975.3,97.53,21.1942927043
2,m3_xlarge,100,wordpress,327,46.987,20.0832970937
3,m3_xlarge,100,wordpress,285,26.624,19.245522817
4,m3_xlarge,100,wordpress,251,18.125,18.7438411713
1,m3_xlarge,200,wordpress,6053,100,21.6329561869
2,m3_xlarge,200,wordpress,2064,97.12,20.7802581787
3,m3_xlarge,200,wordpress,2129,63.492,20.341053009
4,m3_xlarge,200,wordpress,2499,42.474,19.6968091329
1,m3_xlarge,300,wordpress,11178,100,22.0268363953
2,m3_xlarge,300,wordpress,5419,99.92,21.3129762014
3,m3_xlarge,300,wordpress,5466.4,96.194,20.9134661357
4,m3_xlarge,300,wordpress,5592.5,69.661,20.4033851624
1,m3_xlarge,400,wordpress,15871,100,22.7563635508
2,m3_xlarge,400,wordpress,8914,100,21.6878477732
3,m3_xlarge,400,wordpress,8947.8,99.58,21.0365943909
4,m3_xlarge,400,wordpress,9076,73.562,20.3539409637
1,m3_xlarge,500,wordpress,20434.5,100,22.7670478821
2,m3_xlarge,500,wordpress,12352,100,21.682694753
3,m3_xlarge,500,wordpress,12164.2,99.83,21.2639058431
4,m3_xlarge,500,wordpress,12386,71.82,20.8849143982
1,m3_xlarge,600,wordpress,25188,100,23.46783638
2,m3_xlarge,600,wordpress,16598.5,100,22.1526343028
3,m3_xlarge,600,wordpress,15645.1,99.67,21.3247845968
4,m3_xlarge,600,wordpress,11710.9,71.588,20.5764128367
1,m3_xlarge,700,wordpress,29906.5,100,27.0269381205
2,m3_xlarge,700,wordpress,19310,100,22.263256073
3,m3_xlarge,700,wordpress,18553.2,99.75,21.5513102214
4,m3_xlarge,700,wordpress,16544.3,68.25,20.8782513936
1,m3_xlarge,800,wordpress,34784.8,100,30.3575579325
2,m3_xlarge,800,wordpress,23193.2,100,22.7255636851
3,m3_xlarge,800,wordpress,22096.4,99.33,21.468779246
4,m3_xlarge,800,wordpress,21695.6,59.71,20.5176035563
1,m3_xlarge,900,wordpress,39218,100,30.496412913
2,m3_xlarge,900,wordpress,27717.2,100,22.6162312826
3,m3_xlarge,900,wordpress,25031,97.33,21.8936920166
4,m3_xlarge,900,wordpress,25090.4,60.444,20.9047050476
1,m3_xlarge,1000,wordpress,44572.8,100,30.6602172852
2,m3_xlarge,1000,wordpress,30541.4,100,23.1724408468
3,m3_xlarge,1000,wordpress,22289,89.565,21.3584518433
4,m3_xlarge,1000,wordpress,27725.6,64.483,21.1999594371
